,date_firstcapture,burrow,id,sex,age,status,select,zone,mark,date_death,description
1,2023-06-05,65,6814,F,A,NA,1,2,lpi,,
2,2023-04-25,31,6818,F,A,NA,1,2,lld,,
3,2023-04-24,7,6819,F,A,NA,1,3,pld,,
4,2023-04-19,23,6820,F,A,NA,1,3,dd,,
5,2023-04-19,13,6825,M,A,NA,1,3,ii,2023-10-16,somewhere between 13 and 16 of Octobre
6,2023-11-08,22,6829,F,A,NA,0,3,NA,NA,NA
7,2023-04-25,66,6833,F,A,NA,1,2,3p,,
8,2023-05-09,33,6837,F,A,NA,1,3,iip,,
9,2023-06-05,33,6838,M,A,NA,1,3,bhx,,
10,2023-04-19,59,6846,F,A,NA,1,2,p,,
11,2023-04-21,32,6862,F,A,NA,1,3,ppd,,
12,2023-04-21,31,6879,M,A,NA,1,2,ili,,
13,2023-04-21,11,6886,M,A,NA,1,2,csh,,only seen once in May; no data in scans or all-occurrences files
14,2023-04-20,6,6888,F,A,NA,1,3,pi,,
15,2023-06-12,11,6901,F,A,NA,1,2,dll,,
16,2023-06-05,8,6905,F,A,NA,1,3,pii,,
17,2023-05-23,29,6907,F,A,NA,1,3,lip,,
18,2023-04-19,6,6911,F,A,NA,1,3,pp,2023-10-16,"last time observed, last time found with telemetry 2023-10-05"
19,2023-04-19,16,6928,M,A,NA,1,2,i,2023-05-30?,"never found with telemetry from 30 mayo; last time observed with scan 2023-10-16 (correct?), last time behave 2023-05-26; observed 4x after may only in scan, perhaps exclude these"
20,2023-04-19,14,6929,F,A,NA,1,2,d,,
21,2023-04-20,18,6936,M,A,NA,1,2,y,,
22,2023-04-25,13,6937,F,A,NA,1,3,dpd,,
23,2023-04-21,31,6938,F,A,NA,1,2,pip,,
24,2023-06-12,33,6972,M,A,NA,1,3,kc,,
25,2023-04-19,31,6993,M,A,NA,1,2,w,,
26,2023-05-09,7,6995,M,A,NA,1,3,illi,,
27,2023-05-02,8,7004,F,A,NA,1,3,lid,2023-05-26,presumed death 26 may; I have 2 observations on 2023-07-05 (incorrect?); exclude this id from further analyses
28,2023-05-09,18,7007,M,A,NA,1,2,ml,,
29,2023-04-21,18,7010,F,A,NA,1,2,dpp,,
30,2023-04-20,18,7013,M,A,NA,1,2,bh,,
31,2023-05-09,32,7016,F,A,NA,1,3,lpl,,
32,2023-04-20,59,7021,M,A,NA,1,2,m,,
33,2023-04-25,10,7025,M,A,NA,1,2,css,,
34,2023-05-09,10,7027,F,A,NA,1,3,pli,2023-09-21,"last time observed, collar found 2023-10-02"
35,2023-04-21,9,7028,M,A,NA,1,2,2il,,
36,2023-04-19,31,7029,F,A,NA,1,2,pd,,
37,2023-04-24,31,7031,F,A,NA,1,2,lp,,
38,2023-04-21,6,7032,M,A,NA,1,3,lii,,
39,2023-04-19,6,7033,F,A,NA,1,3,dp,,
40,2023-04-25,6,7038,F,A,NA,1,3,pdp,,
