key,orderkey,year,zone,id,mark,sex,burrow,alternative mark_coding23,age,date_death,description,marks from 2023,,,
0,0,,,juvenile,j,,,,,1 pup,,,,,
0,0,,,offspring,o,,,,,more than 1 pup,,,,,
0,0,,,summer juvenile,sj,,,,,pup born in the summer,,,,,
0,0,,,unknown,uk,,,,,"degu with eartags and a mark, observer is not certain of the marking or cannot see the marking",,,,,
0,0,,,unmarked,um,,,,,degu with eartags but is not marked yet,,,,,
0,0,,,untagged,ut,,,,,degu without eartags; never caught before,,,,,
1,183,2024,2,6814,mdm,f,18,,adult in 23,,,,,,
2,184,2024,2,6818,mip,f,11,,adult in 23,,"missing pencil (lost more than half her tail), I only caught her once so we didn't mark her with hairdye",,,,
3,104,2024,2,6833,lpi,f,16,,adult in 23,,,3p,,,
4,17,2024,3,6837,pp,f,33,,adult in 23,,,iip,,,
5,29,2024,2,6846,ipi,f,14,,adult in 23,,,p,,,
6,159,2024,2,6879,hs,m,10,,adult in 23,,,ili,,,
7,22,2024,2,6888,llp,f,10,,adult in 23,,,pi,,,
8,5,2024,3,6905,ip,f,8,,adult in 23,,,pii,,,
9,13,2024,3,6907,3p,f,29,,adult in 23,,,lip,,,
10,141,2024,2,6929,ps,f,59,,adult in 23,,,,,,
11,40,2024,2,6936,i,m,18,,adult in 23,,,y,,,
12,15,2024,3,6937,id,f,13,,adult in 23,,,dpd,,,
13,61,2024,2,7007,lii,m,59,,adult in 23,,,ml,,,
14,113,2024,2,7010,pll,f,65,,adult in 23,,,dpp,,,
15,84,2024,2,7028,bc,m,14,,adult in 23,,,2il,,,
16,21,2024,2,7029,dlp,f,31,,adult in 23,,,pd,,,
17,4,2024,2,7038,dp,f,10,,adult in 23,,,pdp,,,
18,14,2024,3,7040,3d,f,1,,adult in 23,,,plp,,,
19,70,2024,3,7053,x,m,8,,adult in 23,,,il,,,
20,169,2024,2,7055,yp,f,66,,adult in 23,,,ip,,,
21,25,2024,2,7059,lip,f,9,,adult in 23,,,wh,,,
22,100,2024,3,7060,lcl,m,33,,adult in 23,,,iill,,,
23,116,2024,3,7065,dh,f,33,,adult in 23,,,ilp,,,
24,67,2024,2,7072,lil,m,65,,adult in 23,,,li,,,
25,118,2024,3,7074,vw,m,33,,adult in 23,,,4i,,,
26,71,2024,3,7079,rx,m,29,,adult in 23,,,bc,,,
27,18,2024,3,7083,dd,f,36,,adult in 23,,,pid,,,
28,79,2024,3,7085,zl,m,29,,adult in 23,,,ill,,,
29,185,2024,2,7095,sod,f,,,,,,,,,
30,66,2024,3,7135,ili,m,33,7481 as he lost eartags,adult in 23,,,zl,,,
