Grid,Date,Burrow or other,Comments,GPS code,Precision,X (west-to-east),Y (south-to-north),Mean X (west-to-east),Mean Y (south-to-north),DATUM (original PS56=yellow),Huso,Mean X (WGS84),Mean Y (WGS84),Scaled X,Scaled Y,,,,,,,,,,,,,,,,,,
,11-Nov-21,33,,R33,3,325192.0,6291697.0,325190.7,6291696.0,wgs84,19,325191,6291696,  ,,,,,,,,,,,,,,,,,,,
,12-Nov-21,33,,161,3,325187.0,6291694.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,33,,230,3,325193.0,6291697.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,CAMIO21,,CAMIO21,3,325186.0,6291689.0,325187.0,6291690.0,wgs84,19,325187,6291690,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,CAMIO21,,162,3,325188.0,6291689.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,CAMIO21,,231,3,325187.0,6291692.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,38,,R38,3,325208.0,6291684.0,325206.7,6291684.0,wgs84,19,325207,6291684,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,38,,163,3,325205.0,6291683.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,38,,232,3,325207.0,6291685.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,ANDAM S 2021,,ANDAM S,3,325187.0,6291650.0,325188.3,6291650.0,wgs84,19,325188,6291650,,                                     ,,,,,,,,,,,,,,,,,,
,12-Nov-21,ANDAM S 2021,,164,3,325189.0,6291649.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,ANDAM S 2021,,233,3,325189.0,6291651.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,29m E 3,,29ER3,3,325199.0,6291626.0,325198.7,6291627.0,wgs84,19,325199,6291627,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,29m E 3,,165,3,325198.0,6291627.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,29m E 3,,234,3,325199.0,6291628.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,15m E 3,,15ER3,3,325178.0,6291634.0,325182.0,6291632.0,wgs84,19,325182,6291632,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,15m E 3,,166,3,325186.0,6291629.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,15m E 3,,235,3,325182.0,6291633.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,11-Nov-21,3,,R3,3,325169.0,6291631.0,325170.0,6291630.7,wgs84,19,325170,6291631,,,,,,,,,,,,,,,,,,,,
,12-Nov-21,3,,167,3,325171.0,6291630.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
,15-Nov-21,3,,236,3,325170.0,6291631.0,,,wgs84,19,,,,,,,,,,,,,,,,,,,,,,
