"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"1","","7453",1,NA,34.3333333333333,NA,NA
"2","6814","7072",1,12,29.5,20.75,0.0481927710843374
"3","6814","7234",1,12,28.3333333333333,20.1666666666667,0.0495867768595041
"4","6814","7391",3,12,25.8333333333333,18.9166666666667,0.158590308370044
"5","6818","7298",2,NA,47.8333333333333,NA,NA
"6","6818","7324",12,NA,48.8333333333333,NA,NA
"7","6818","7328",1,NA,46.5,NA,NA
"8","6818","7427",5,NA,49.5,NA,NA
"9","6818","7448",1,NA,23.6666666666667,NA,NA
"10","6818","7453",1,NA,34.3333333333333,NA,NA
"11","6833","7218",7,22.5,28.6666666666667,25.5833333333333,0.273615635179153
"12","6833","7232",4,22.5,25.6666666666667,24.0833333333333,0.166089965397924
"13","6833","7384",1,22.5,11.5,17,0.0588235294117647
"14","6879","6888",2,13,11.5,12.25,0.163265306122449
"15","6879","7197",1,13,0.833333333333333,6.91666666666667,0.144578313253012
"16","6879","7278",1,13,15,14,0.0714285714285714
"17","6879","7314",1,13,11.6666666666667,12.3333333333333,0.0810810810810811
"18","6879","7339",2,13,22.8333333333333,17.9166666666667,0.111627906976744
"19","6879","7369",1,13,23.6666666666667,18.3333333333333,0.0545454545454545
"20","6888","6879",1,11.5,13,12.25,0.0816326530612245
"21","6888","7278",2,11.5,15,13.25,0.150943396226415
"22","6888","7314",1,11.5,11.6666666666667,11.5833333333333,0.0863309352517986
"23","6888","7339",1,11.5,22.8333333333333,17.1666666666667,0.058252427184466
"24","6888","7366",1,11.5,7.5,9.5,0.105263157894737
"25","6937","7083",2,20.3333333333333,27.3333333333333,23.8333333333333,0.0839160839160839
"26","6937","7424",4,20.3333333333333,32.1666666666667,26.25,0.152380952380952
"27","6937","7475",2,20.3333333333333,27.1666666666667,23.75,0.0842105263157895
"28","6937","7479",1,20.3333333333333,16,18.1666666666667,0.055045871559633
"29","7010","7072",6,44.5,29.5,37,0.162162162162162
"30","7010","7186",5,44.5,29.3333333333333,36.9166666666667,0.135440180586907
"31","7010","7207",10,44.5,45.6666666666667,45.0833333333333,0.22181146025878
"32","7010","7222",3,44.5,16.5,30.5,0.0983606557377049
"33","7010","7255",2,44.5,33.6666666666667,39.0833333333333,0.0511727078891258
