"","id1","id2","n","actor.obs","subject.obs","ave.obs","frequency"
"1","6818","6814",0,0,0,0,0
"2","6819","6814",0,0,0,0,0
"3","6820","6814",0,0,0,0,0
"4","6825","6814",0,0,0,0,0
"5","6833","6814",0,0,0,0,0
"6","6837","6814",0,0,0,0,0
"7","6838","6814",0,0,0,0,0
"8","6846","6814",0,0,0,0,0
"9","6862","6814",0,0,0,0,0
"10","6879","6814",0,0,0,0,0
"11","6888","6814",0,0,0,0,0
"12","6901","6814",0,0,0,0,0
"13","6905","6814",0,0,0,0,0
"14","6911","6814",0,0,0,0,0
"15","6929","6814",0,0,0,0,0
"16","6936","6814",6,25.8333333333333,15.1666666666667,20.5,0.292682926829268
"17","6937","6814",0,0,0,0,0
"18","6938","6814",0,0,0,0,0
"19","6993","6814",0,0,0,0,0
"20","6995","6814",0,0,0,0,0
"21","7007","6814",1,11,15.1666666666667,13.0833333333333,0.0764331210191083
"22","7010","6814",1,25.1666666666667,15.1666666666667,20.1666666666667,0.0495867768595041
"23","7016","6814",0,0,0,0,0
"24","7021","6814",0,0,0,0,0
"25","7025","6814",0,0,0,0,0
"26","7027","6814",0,0,0,0,0
"27","7028","6814",0,0,0,0,0
"28","7029","6814",0,0,0,0,0
"29","7031","6814",0,0,0,0,0
"30","7032","6814",0,0,0,0,0
"31","7033","6814",0,0,0,0,0
"32","7038","6814",0,0,0,0,0
"33","7040","6814",0,0,0,0,0
"34","7045","6814",0,0,0,0,0
"35","7047","6814",0,0,0,0,0
"36","7053","6814",0,0,0,0,0
"37","7055","6814",0,0,0,0,0
"38","7056","6814",0,0,0,0,0
"39","7059","6814",0,0,0,0,0
"40","7060","6814",0,0,0,0,0
"41","7064","6814",0,0,0,0,0
"42","7065","6814",0,0,0,0,0
"43","7072","6814",0,0,0,0,0
"44","7073","6814",0,0,0,0,0
"45","7078","6814",0,0,0,0,0
"46","7079","6814",0,0,0,0,0
"47","7080","6814",0,0,0,0,0
"48","7083","6814",0,0,0,0,0
"49","7084","6814",0,0,0,0,0
"50","7085","6814",0,0,0,0,0
"51","7088","6814",0,0,0,0,0
"52","7091","6814",0,0,0,0,0
"53","7095","6814",0,0,0,0,0
"54","7098","6814",0,0,0,0,0
"55","7099","6814",0,0,0,0,0
"56","7100","6814",0,0,0,0,0
"57","7102","6814",0,0,0,0,0
"58","7103","6814",0,0,0,0,0
"59","7107","6814",0,0,0,0,0
"60","7108","6814",0,0,0,0,0
"61","7110","6814",0,0,0,0,0
"62","7114","6814",0,0,0,0,0
"63","7115","6814",0,0,0,0,0
"64","7117","6814",0,0,0,0,0
"65","7125","6814",0,0,0,0,0
"66","7130","6814",0,0,0,0,0
"67","7132","6814",0,0,0,0,0
"68","7135","6814",0,0,0,0,0
"69","7136","6814",0,0,0,0,0
"70","7138","6814",0,0,0,0,0
"71","7140","6814",0,0,0,0,0
"72","7141","6814",0,0,0,0,0
"73","7145","6814",0,0,0,0,0
"74","7149","6814",0,0,0,0,0
"75","7166","6814",0,0,0,0,0
"76","7167","6814",0,0,0,0,0
"77","7169","6814",0,0,0,0,0
"78","7170","6814",0,0,0,0,0
"79","7171","6814",0,0,0,0,0
"80","7175","6814",0,0,0,0,0
"81","7183","6814",0,0,0,0,0
"82","7186","6814",0,0,0,0,0
"83","7191","6814",0,0,0,0,0
"84","7192","6814",0,0,0,0,0
