"","actor","subject","n","actor.obs","subject.obs","ave.obs","frequency"
"1","6833","7218",1,22.5,28.6666666666667,25.5833333333333,0.0390879478827362
"2","6833","7443",2,22.5,18.1666666666667,20.3333333333333,0.0983606557377049
"3","6879","7276",3,13,23.6666666666667,18.3333333333333,0.163636363636364
"4","6879","7339",1,13,22.8333333333333,17.9166666666667,0.0558139534883721
"5","6879","7472",1,13,33,23,0.0434782608695652
"6","6937","7455",1,20.3333333333333,37.6666666666667,29,0.0344827586206897
"7","7010","7186",1,44.5,29.3333333333333,36.9166666666667,0.0270880361173815
"8","7010","7220",2,44.5,31.8333333333333,38.1666666666667,0.0524017467248908
"9","7010","7232",1,44.5,25.6666666666667,35.0833333333333,0.0285035629453682
"10","7010","7315",1,44.5,28,36.25,0.0275862068965517
"11","7010","7328",1,44.5,46.5,45.5,0.021978021978022
"12","7010","7448",1,44.5,23.6666666666667,34.0833333333333,0.0293398533007335
"13","7038","6888",1,26.8333333333333,11.5,19.1666666666667,0.0521739130434783
"14","7038","7295",1,26.8333333333333,29.8333333333333,28.3333333333333,0.0352941176470588
"15","7038","7339",1,26.8333333333333,22.8333333333333,24.8333333333333,0.0402684563758389
"16","7072","7010",1,29.5,44.5,37,0.027027027027027
"17","7072","7267",1,29.5,35.5,32.5,0.0307692307692308
"18","7072","7453",1,29.5,34.3333333333333,31.9166666666667,0.031331592689295
"19","7072","7460",1,29.5,22.3333333333333,25.9166666666667,0.0385852090032154
"20","7083","7286",1,27.3333333333333,26.1666666666667,26.75,0.0373831775700935
"21","7083","7425",1,27.3333333333333,4.66666666666667,16,0.0625
"22","7139","7295",1,36.6666666666667,29.8333333333333,33.25,0.0300751879699248
"23","7139","7367",1,36.6666666666667,16,26.3333333333333,0.0379746835443038
"24","7139","7410",2,36.6666666666667,41.6666666666667,39.1666666666667,0.051063829787234
"25","7139","7480",1,36.6666666666667,42.6666666666667,39.6666666666667,0.0252100840336134
"26","7186","7010",1,29.3333333333333,44.5,36.9166666666667,0.0270880361173815
"27","7186","7072",1,29.3333333333333,29.5,29.4166666666667,0.0339943342776204
"28","7186","7234",1,29.3333333333333,28.3333333333333,28.8333333333333,0.0346820809248555
"29","7186","7255",1,29.3333333333333,33.6666666666667,31.5,0.0317460317460317
"30","7186","7342",1,29.3333333333333,28.5,28.9166666666667,0.0345821325648415
"31","7186","7355",3,29.3333333333333,31.6666666666667,30.5,0.0983606557377049
"32","7186","7384",1,29.3333333333333,11.5,20.4166666666667,0.0489795918367347
"33","7186","7460",1,29.3333333333333,22.3333333333333,25.8333333333333,0.0387096774193548
"34","7186","7472",6,29.3333333333333,33,31.1666666666667,0.192513368983957
"35","7190","7270",3,32.5,30.3333333333333,31.4166666666667,0.0954907161803714
"36","7190","7290",1,32.5,8.33333333333333,20.4166666666667,0.0489795918367347
"37","7190","7302",1,32.5,39,35.75,0.027972027972028
"38","7194","7268",1,38,26.8333333333333,32.4166666666667,0.0308483290488432
"39","7194","7286",1,38,26.1666666666667,32.0833333333333,0.0311688311688312
"40","7194","7346",2,38,26.8333333333333,32.4166666666667,0.0616966580976864
"41","7204","7230",1,2.83333333333333,16.5,9.66666666666667,0.103448275862069
"42","7204","7342",1,2.83333333333333,28.5,15.6666666666667,0.0638297872340426
"43","7207","7222",2,45.6666666666667,16.5,31.0833333333333,0.064343163538874
"44","7207","7460",1,45.6666666666667,22.3333333333333,34,0.0294117647058824
