"","id1","id2","n","actor.obs","subject.obs","ave.obs","frequency"
"1","6833","6814",0,0,0,0,0
"2","6879","6814",0,0,0,0,0
"3","6888","6814",0,0,0,0,0
"4","6905","6814",0,0,0,0,0
"5","6937","6814",0,0,0,0,0
"6","7010","6814",0,0,0,0,0
"7","7038","6814",0,0,0,0,0
"8","7040","6814",0,0,0,0,0
"9","7055","6814",0,0,0,0,0
"10","7065","6814",0,0,0,0,0
"11","7072","6814",0,0,0,0,0
"12","7083","6814",0,0,0,0,0
"13","7139","6814",0,0,0,0,0
"14","7186","6814",0,0,0,0,0
"15","7190","6814",0,0,0,0,0
"16","7194","6814",0,0,0,0,0
"17","7197","6814",0,0,0,0,0
"18","7204","6814",0,0,0,0,0
"19","7207","6814",0,0,0,0,0
"20","7214","6814",0,0,0,0,0
"21","7218","6814",0,0,0,0,0
"22","7219","6814",0,0,0,0,0
"23","7220","6814",0,0,0,0,0
"24","7221","6814",0,0,0,0,0
"25","7222","6814",0,0,0,0,0
"26","7225","6814",0,0,0,0,0
"27","7227","6814",0,0,0,0,0
"28","7230","6814",0,0,0,0,0
"29","7232","6814",0,0,0,0,0
"30","7233","6814",0,0,0,0,0
"31","7234","6814",0,0,0,0,0
"32","7236","6814",0,0,0,0,0
"33","7243","6814",0,0,0,0,0
"34","7246","6814",0,0,0,0,0
"35","7253","6814",0,0,0,0,0
"36","7255","6814",0,0,0,0,0
"37","7263","6814",0,0,0,0,0
"38","7265","6814",0,0,0,0,0
"39","7267","6814",0,0,0,0,0
"40","7268","6814",0,0,0,0,0
"41","7270","6814",0,0,0,0,0
"42","7271","6814",0,0,0,0,0
"43","7274","6814",0,0,0,0,0
"44","7276","6814",0,0,0,0,0
"45","7278","6814",0,0,0,0,0
"46","7279","6814",0,0,0,0,0
"47","7280","6814",0,0,0,0,0
"48","7286","6814",0,0,0,0,0
"49","7290","6814",0,0,0,0,0
"50","7291","6814",0,0,0,0,0
"51","7295","6814",0,0,0,0,0
"52","7298","6814",0,0,0,0,0
"53","7302","6814",0,0,0,0,0
"54","7304","6814",0,0,0,0,0
"55","7313","6814",0,0,0,0,0
"56","7314","6814",0,0,0,0,0
"57","7315","6814",0,0,0,0,0
"58","7323","6814",0,0,0,0,0
"59","7324","6814",0,0,0,0,0
"60","7328","6814",0,0,0,0,0
"61","7334","6814",0,0,0,0,0
"62","7339","6814",0,0,0,0,0
"63","7340","6814",0,0,0,0,0
"64","7342","6814",0,0,0,0,0
"65","7345","6814",0,0,0,0,0
"66","7346","6814",0,0,0,0,0
"67","7352","6814",0,0,0,0,0
"68","7355","6814",0,0,0,0,0
"69","7363","6814",0,0,0,0,0
"70","7366","6814",0,0,0,0,0
"71","7367","6814",0,0,0,0,0
"72","7369","6814",0,0,0,0,0
"73","7380","6814",0,0,0,0,0
"74","7381","6814",0,0,0,0,0
"75","7384","6814",0,0,0,0,0
"76","7386","6814",0,0,0,0,0
"77","7390","6814",0,0,0,0,0
"78","7391","6814",0,0,0,0,0
"79","7398","6814",0,0,0,0,0
"80","7399","6814",0,0,0,0,0
"81","7407","6814",0,0,0,0,0
"82","7410","6814",0,0,0,0,0
