"","int.ids","degree","strength","between","closeness","ec","pr","network","dom_ec"
"6814...1",6814,8,1.6313892413306,0,0.059910517341316,0.00169357927801316,0.535993282562362,"proximity",NA
"6818...2",6818,0,0,0,NA,0,0.0793850980422835,"proximity",NA
"6833...3",6833,10,2.02995095549625,18,0.0592949656837848,0.073626829649271,0.685854473123105,"proximity",NA
"6879...4",6879,13,2.03444874535513,333,0.0580129814967709,0.441514569726675,0.529761442083225,"proximity",NA
"6888...5",6888,11,3.7081606282521,110,0.0608021804796109,1,0.880115901684461,"proximity",NA
"6905...6",6905,3,0.281405567964496,0,0.0456751360610733,0.000193817268313638,0.159756927739588,"proximity",NA
"6937...7",6937,6,1.28266683260406,36,0.04584817761542,0.00309603523037185,0.51460990839472,"proximity",NA
"7010...8",7010,17,2.06989249769424,320,0.0729699492276134,0.00622522602431476,0.630735884271118,"proximity",NA
"7038...9",7038,12,2.50680279959633,194,0.0629040981750651,0.289480699539468,0.598172723741884,"proximity",NA
"7040...10",7040,15,2.35219813264444,371,0.0710007962083035,0.054735174538805,0.598495723339558,"proximity",NA
"7055...11",7055,4,2.96424784123618,0,0.0126633852021699,0.251886114409513,0.745059627935178,"proximity",NA
"7065...12",7065,4,2.5630461288356,0,0.0191462869566407,0.0798002756967585,0.697384070268044,"proximity",NA
"7072...13",7072,12,1.74434979351389,19,0.0637090630928978,0.00486110063286881,0.54358342989716,"proximity",NA
"7083...14",7083,11,1.48984751432668,210,0.0614218595452358,0.00526825425379379,0.593857160647965,"proximity",NA
"7139...15",7139,10,2.3656110148235,159,0.0575112537607314,0.0400905970969343,0.601832206227497,"proximity",NA
"7186...16",7186,19,1.97160846540788,112,0.0675465270864371,0.01101264754294,0.583856964801179,"proximity",NA
"7190...17",7190,10,1.68043177753836,77,0.0553508292107989,0.013495093577644,0.51675363304979,"proximity",NA
"7194...18",7194,10,1.46959630391142,109,0.0606535384184703,0.0388869817947428,0.441643884006658,"proximity",NA
"7197...19",7197,3,1.35466234686646,0,0.0308468279879203,0.0923995966083146,0.385391538737628,"proximity",NA
"7204...20",7204,3,0.212614870509607,0,0.048696020726728,0.00599278207519172,0.140661058601038,"proximity",NA
"7207...21",7207,18,2.32317632735079,259,0.0720010938618394,0.0149398477616863,0.704003284654593,"proximity",NA
"7214...22",7214,3,0.965795074490727,9,0.0319662684032827,0.111220298964337,0.287088806745935,"proximity",NA
"7218...23",7218,10,2.16429031810686,127,0.0603338235042448,0.0945715024626268,0.710974274994599,"proximity",NA
"7219...24",7219,9,1.00241078009231,43,0.0690535681939992,0.00911127958750206,0.398071231553212,"proximity",NA
"7220...25",7220,20,2.74546656325306,42,0.0694417569987685,0.0117002756292172,0.784304018749177,"proximity",NA
"7221...26",7221,11,3.95947384717295,212,0.0522140277375519,0.277083899175271,1,"proximity",NA
"7222...27",7222,16,0.930996009159961,402,0.0722852888771471,0.00533474598713221,0.314283102009585,"proximity",NA
"7225...28",7225,9,1.36141238942851,0,0.054957659464051,0.00451729862558548,0.427253521447667,"proximity",NA
"7227...29",7227,10,1.82318720919907,0,0.0619689269582668,0.00764569602375672,0.541966834521493,"proximity",NA
"7230...30",7230,10,1.14329106135611,4,0.0583546371771734,0.00421174121403919,0.379848778911003,"proximity",NA
"7232...31",7232,11,1.5122087635522,253,0.0666045985507598,0.0442005664395332,0.529206790412237,"proximity",NA
"7233...32",7233,11,2.35158242557797,208,0.057031631360273,0.077395336560891,0.661205683962187,"proximity",NA
"7234...33",7234,12,2.03979632980587,186,0.0653834787531693,0.00196431597651201,0.668688641030278,"proximity",NA
"7236...34",7236,10,2.09385576576476,110,0.0540384188287045,0.276097422588322,0.508689415293375,"proximity",NA
"7246...35",7246,13,2.18857104399761,321,0.0670069834222431,0.00878621887738744,0.654528999095196,"proximity",NA
"7253...36",7253,18,2.24718184689207,80,0.0687459436364339,0.0110248178956464,0.651120407453962,"proximity",NA
"7255...37",7255,14,2.01276526079401,90,0.0670117758423238,0.00276373672238751,0.637431669857771,"proximity",NA
"7263...38",7263,15,0.998135608261482,554,0.0772423787117541,0.00574978062658496,0.398624852775021,"proximity",NA
"7265...39",7265,11,1.21897809589064,19,0.0635818556511047,0.00175006804791047,0.419164992744337,"proximity",NA
"7267...40",7267,12,1.82759877207607,19,0.0692234266367018,0.00567868576054666,0.56466647943774,"proximity",NA
"7268...41",7268,15,2.12138230721551,636,0.0670933023324871,0.0537513741925741,0.605712959009543,"proximity",NA
"7270...42",7270,10,1.5721322106031,74,0.0662194659836121,0.00719535433652888,0.486653566234421,"proximity",NA
"7271...43",7271,10,2.40080903709005,39,0.0540684500415086,0.27363603476001,0.574199652663512,"proximity",NA
"7274...44",7274,7,2.1779582443661,0,0.0334933152078986,0.240141357430508,0.52514772474643,"proximity",NA
"7276...45",7276,13,0.933651860741545,173,0.0715161927308766,0.0213183579785605,0.318558492337346,"proximity",NA
"7278...46",7278,9,2.50922356198706,22,0.0619272868479417,0.724464547391721,0.615992899238789,"proximity",NA
"7279...47",7279,9,0.859048800139045,681,0.0755601336661887,0.00421578462816784,0.357000371744913,"proximity",NA
"7280...48",7280,11,2.42733115358657,2,0.0476614543930871,0.236804417451121,0.595084930534361,"proximity",NA
"7286...49",7286,10,1.89203122692774,68,0.0605119791646344,0.0544588933884035,0.544002003395928,"proximity",NA
"7290...50",7290,8,1.46167641891041,0,0.0529326443737127,0.00423190900297334,0.456596430821819,"proximity",NA
"7291...51",7291,16,2.63129414022804,57,0.0645522799823068,0.0206541598297799,0.747189733535908,"proximity",NA
"7295...52",7295,12,2.18059743976926,211,0.0652239095010478,0.0657516379517807,0.612470205350253,"proximity",NA
"7298...53",7298,11,2.53585619803015,31,0.0653836698496882,0.0066403899091629,0.75015539593607,"proximity",NA
"7302...54",7302,10,1.79175466368338,105,0.0635367444821808,0.0104335911992457,0.543256555062921,"proximity",NA
"7304...55",7304,4,2.79104010025062,105,0.0452183030365402,0.0526039438211216,0.743889656368382,"proximity",NA
"7313...56",7313,6,2.01002126303963,0,0.0376200425761357,0.047468810390657,0.570432319457308,"proximity",NA
"7314...57",7314,8,2.07947463345501,8,0.0595101424530127,0.595137193261285,0.521727638414135,"proximity",NA
"7315...58",7315,21,2.46968354106508,240,0.0730569959263996,0.0132445013530661,0.719899661656035,"proximity",NA
"7323...59",7323,6,1.12325896183257,0,0.0596564697037544,0.00296540646425874,0.393644589413502,"proximity",NA
"7324...60",7324,14,2.17858143521058,296,0.0729432422176429,0.0114305989705667,0.663550973366841,"proximity",NA
"7328...61",7328,18,1.49628156207606,411,0.0740914518516094,0.0101657467981597,0.478610218302882,"proximity",NA
"7334...62",7334,13,2.90613499772497,150,0.061786575061676,0.28772947545171,0.696737101423995,"proximity",NA
"7339...63",7339,12,2.74364335687837,92,0.0629077243802357,0.281863317217646,0.655862989239585,"proximity",NA
"7340...64",7340,11,1.60877936999313,233,0.0648042371596505,0.422295409220391,0.490330557636206,"proximity",NA
"7342...65",7342,17,2.56558195988613,367,0.0714640561465119,0.0174100199396271,0.737833912089231,"proximity",NA
"7345...66",7345,13,2.34434186874394,126,0.0654935824052759,0.0103267985399053,0.698642831990662,"proximity",NA
"7346...67",7346,9,1.07331558970399,262,0.0643958796293085,0.0318710710235206,0.335846653746502,"proximity",NA
"7352...68",7352,7,1.25878088340078,3,0.0493116023308418,0.00445945882609041,0.405038509630686,"proximity",NA
"7355...69",7355,17,1.77424824026286,447,0.0691892433434241,0.0185754934723258,0.532335426256155,"proximity",NA
"7363...70",7363,2,0.925811965811966,0,0.0568627278230845,0.0141541077987276,0.335016412216203,"proximity",NA
"7366...71",7366,7,3.04509587032478,0,0.0455858193449179,0.907841008001548,0.730886584716032,"proximity",NA
"7367...72",7367,12,1.69894422112488,178,0.0615241037193169,0.0180561048968877,0.532841929593524,"proximity",NA
"7369...73",7369,12,2.39264312611149,24,0.0567750818163487,0.268191857812703,0.579955491138816,"proximity",NA
"7380...74",7380,14,1.9987186125643,171,0.0688352992218069,0.0129782477853875,0.587686536899647,"proximity",NA
"7381...75",7381,3,1.49918300653595,0,0.0228194185440364,0.0391662836458908,0.488259624754432,"proximity",NA
"7384...76",7384,10,1.05317606705359,64,0.0674223428895039,0.00691197131064071,0.340743146993217,"proximity",NA
"7386...77",7386,12,2.25071691670059,165,0.0645573439678595,0.0389134656779003,0.576495642172243,"proximity",NA
"7390...78",7390,15,2.71802841851173,325,0.0726762449711485,0.0502173352436849,0.680547802266183,"proximity",NA
"7391...79",7391,8,1.47648329730447,23,0.0599631953321285,0.00131740530589346,0.506808686986918,"proximity",NA
"7398...80",7398,4,0.860537986220447,0,0.0390171177624936,0.00208710005167117,0.317516840503415,"proximity",NA
"7399...81",7399,1,0.164383561643836,0,0.0305891185325462,0.0278845824359339,0.121971385638875,"proximity",NA
"7407...82",7407,11,2.21981730653907,88,0.0621547337269195,0.00964571103877039,0.658818860176695,"proximity",NA
