,id,sex,mark,meanagd,masculinization,meanhf,n,mean_bm,n_bm,bodycondition,mean_latency,docility,hr50,hr95,groupid
1,6814,F,lpi,1.87,average,27.00333333,3,288.85,4,0.290996846,3.575,slow escape,0.058468091,0.312706653,18
2,6818,F,lld,NA,NA,NA,NA,260.4,2,NA,NA,NA,0.01781626,0.520987305,54
3,6819,F,pld,2.17125,average,25.61125,8,241.9015873,7,0.1811633,1.375,average escape,0.013078723,0.337885547,13
4,6820,F,dd,2.13,average,25.30125,8,250.1285714,7,0.230147803,0.97,average escape,0.028510083,0.888328259,13
5,6825,M,ii,9.51375,average,26.3475,8,222.8828571,35,0.063111396,1.43625,average escape,0.039719849,0.49379425,54
6,6829,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6833,F,3p,2.50125,average,26.57,8,241.9666667,6,0.134533723,1.623333333,slow escape,0.037220178,0.397770996,54
8,6837,F,iip,1.611666667,low,25.89285714,7,219.48,10,0.069938557,1.815,slow escape,0.037387671,0.196576367,33
9,6838,M,bhx,10.2425,average,26.1025,4,226.05,6,0.089143129,NA,NA,0.058258093,0.451442358,11
10,6846,F,p,1.976,average,25.81,5,227.5714286,7,0.110231722,1.936,slow escape,0.010751086,0.181165918,14
11,6862,F,ppd,2.862222222,large,26.43111111,9,266.2125,8,0.236716719,1.73375,slow escape,0.027916016,0.169465491,32
12,6879,M,ili,NA,NA,NA,NA,206,2,NA,NA,NA,0.066717737,0.408614197,NA
13,6886,M,csh,NA,NA,NA,NA,205.075,4,NA,1.9,slow escape,NA,NA,NA
14,6888,F,pi,2.3,average,27.27666667,3,295.5333333,3,0.301018793,1.628,slow escape,0.03560752,0.309120825,10
15,6901,F,dll,2.40875,average,24.78375,8,245.2571429,7,0.236851646,1.09,average escape,0.011742102,0.170264465,19
16,6905,F,pii,1.738,average,24.41,5,223.32,5,0.162541111,1.285,average escape,0.019865198,0.212866748,NA
17,6907,F,lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,6911,F,pp,2.52,average,27.09666667,9,258.5428571,7,0.175747683,1.19375,average escape,0.161781726,0.916611365,10
19,6928,M,i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,6929,F,d,1.86375,average,25.66625,8,237.22,5,0.158882791,1.02125,average escape,0.0304573,0.188129651,14
21,6936,M,y,9.96875,average,26.33875,8,206.9636364,33,-0.010567957,1.04875,average escape,0.023552014,0.786991174,18
22,6937,F,dpd,2.01,average,25.74375,8,208.4083333,12,0.025546645,0.785,fast escape,0.085990747,0.594616211,13
23,6938,F,pip,1.92375,average,25.8,8,258.54,5,0.238312504,1.8,slow escape,0.064038599,0.270334998,16
