"","id","sex","meanagd","masculinization","mean_bm","n_bm","meanhf","n","bodycondition","mean_escapescore","docility","hr50","hr95"
"1",6814,"F",NA,NA,270.511111111111,9,NA,NA,NA,NA,NA,0.0469585693359375,0.188764770507813
"2",6833,"F",1.91,"large",263.36,5,26.28,3,0.209128731967742,NA,NA,0.0358473754882812,0.178479577636719
"3",6837,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",6846,"F",NA,NA,249.95,4,25.87,2,0.181722982901017,NA,NA,NA,NA
"5",6879,"M",8.74333333333333,"average",217.290909090909,11,25.94,3,0.0374277900490854,NA,NA,0.111050427246094,0.447292602539063
"6",6888,"F",NA,NA,292.133333333333,3,NA,NA,NA,NA,NA,0.0319239624023437,0.125023901367187
"7",6905,"F",NA,NA,208.4,16,24.63,2,0.0775635559257082,0.278670344356926,"slow leaving trap",NA,NA
"8",6907,"F",NA,NA,230.76,5,26.68,2,0.0531068958509956,NA,NA,NA,NA
"9",6929,"F",NA,NA,243.666666666667,3,25.2,2,0.197740879684363,NA,NA,NA,NA
"10",6936,"M",NA,NA,221.2,3,NA,NA,NA,NA,NA,NA,NA
"11",6937,"F",1.27333333333333,"average",213.913333333333,15,24.71,3,0.0985492816811581,NA,NA,0.0161296997070313,0.0620860229492187
"12",7007,"M",NA,NA,251.62,5,26.225,2,0.166838460301421,NA,NA,NA,NA
"13",7010,"F",1.525,"average",259.904545454545,22,25.6625,8,0.233506247154117,0.279205650328598,"slow leaving trap",0.0877862670898437,0.470274438476562
"14",7028,"M",9.17,"average",232.027272727273,11,25.23,5,0.146913959328185,NA,NA,NA,NA
"15",7029,"F",0.91,"low",209.85,4,25.4575,4,0.0322626485413661,NA,NA,NA,NA
"16",7038,"F",1.36571428571429,"average",243.811428571429,35,25.9985714285714,7,0.149020696999601,0.374721278506324,"average leaving trap",0.0234572631835938,0.110934423828125
"17",7040,"F",2.0225,"large",236.911111111111,18,24.8125,4,0.194119968522387,NA,NA,0.04333359375,0.190947839355469
"18",7053,"M",9.94333333333333,"large",262.43,10,27.5166666666667,3,0.13290468581984,NA,NA,NA,NA
"19",7055,"F",1.74625,"large",210.822222222222,9,24.57,8,0.092974848351495,0.565134099616858,"fast leaving trap",NA,NA
"20",7060,"M",NA,NA,209.1,2,NA,NA,NA,NA,NA,NA,NA
"21",7063,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",7065,"F",NA,NA,262.004761904762,21,NA,NA,NA,0.344180498995487,"average leaving trap",NA,NA
"23",7072,"M",8.80571428571429,"average",246.32,10,27.03,7,0.0977586806031405,NA,NA,0.0448612670898437,0.277305065917969
"24",7074,"M",NA,NA,227.15,4,25.435,2,0.112877934228228,NA,NA,NA,NA
"25",7079,"M",NA,NA,237.675,4,NA,NA,NA,0.41574763166664,"average leaving trap",NA,NA
"26",7083,"F",1.63285714285714,"average",231.682142857143,28,24.4683333333333,7,0.193880234725068,0.368384641592895,"average leaving trap",0.03231904296875,0.116088146972656
"27",7085,"M",7.706,"average",262.155555555556,18,27.234,5,0.148180194502181,0.496860792379303,"fast leaving trap",NA,NA
"28",7095,"F",NA,NA,218.4,4,NA,NA,NA,NA,NA,NA,NA
"29",7135,"M",9.75666666666667,"large",224.8,9,24.4533333333333,3,0.164694320757619,0.366437725323018,"average leaving trap",NA,NA
"30",7139,"F",1.6575,"average",231.116666666667,6,24.445,4,0.192944607881522,NA,NA,0.0391332153320312,0.245404931640625
"31",7141,"F",1.19333333333333,"average",242.85,16,24.9133333333333,3,0.212468266485244,0.412367635080098,"average leaving trap",NA,NA
"32",7149,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",7166,"M",NA,NA,243.35,2,26.36,2,0.125302981660847,NA,NA,NA,NA
"34",7183,"M",NA,NA,225.15,2,NA,NA,NA,NA,NA,NA,NA
"35",7186,"M",10.52625,"large",239.762068965517,29,26.36125,8,0.110374342031422,0.341271635606221,"average leaving trap",0.059110400390625,0.394009948730469
"36",7190,"F",NA,NA,227.56,5,NA,NA,NA,NA,NA,0.0256686401367188,0.110378527832031
"37",7191,"F",1.025,"low",198,5,24.6666666666667,3,0.0240198364293724,NA,NA,NA,NA
"38",7194,"M",9.3,"average",247.044,25,24.586,5,0.250497057974439,0.378434382074664,"average leaving trap",0.0240810302734375,0.09245361328125
"39",7197,"M",NA,NA,237.157142857143,7,NA,NA,NA,0.497629161315815,"fast leaving trap",NA,NA
"40",7199,"M",NA,NA,241.275,4,26.115,2,0.131499961933618,NA,NA,NA,NA
