"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network","m.apl","cluster","overlap","density_pool","year","sex.keyID","sex"
"1","1",155,1.38902034062248,0.651162790697674,1,0.425649129089599,0.225395067232825,0.450790134465651,0,6,"proximity",NA,NA,NA,NA,"2023","M","M"
"2","6",29,0.443837026268361,0.305084745762712,1,0.216620713437954,0.392771757504104,0.622528506986348,0,3,"proximity",NA,NA,NA,NA,"2023","M","M"
"3","8",38,0.602941982586283,0.366101694915254,1,0.299811676082862,0.372060913086927,0.589702595226853,0,3,"proximity",NA,NA,NA,NA,"2023","M","M"
"4","9",78,0.711938369753011,0.272515644555694,1,0.172756777660422,0.156918561380929,0.364353616279687,0,10,"proximity",NA,NA,NA,NA,"2023","M","M"
"5","9",78,0.711938369753011,0.272515644555694,1,0.172756777660422,0.156918561380929,0.364353616279687,0,10,"proximity",NA,NA,NA,NA,"2023","M","M"
"6","10",87,0.971950490825607,0.427241051631295,1,0.203045945119565,0.175623944426814,0.407786170699556,0,10,"proximity",NA,NA,NA,NA,"2023","M","M"
"7","11",7,0.108597285067873,0.108597285067873,1,0.108597285067873,1,1,0,1,"proximity",NA,NA,NA,NA,"2023","M","M"
"8","11",7,0.108597285067873,0.108597285067873,1,0.108597285067873,1,1,0,1,"proximity",NA,NA,NA,NA,"2023","M","M"
"9","14",115,1.08745974015486,0.281439227731461,0.733333333333333,0.173924790217737,0.216644354342455,0.560017531968192,0.267,15,"proximity",NA,NA,NA,NA,"2023","M","M"
"10","14",115,1.08745974015486,0.281439227731461,0.733333333333333,0.173924790217737,0.216644354342455,0.560017531968192,0.267,15,"proximity",NA,NA,NA,NA,"2023","M","M"
"11","16",2,0.0310077519379845,0.0310077519379846,1,0.0310077519379846,1,1,0,1,"proximity",NA,NA,NA,NA,"2023","M","M"
"12","18",58,0.916601254570933,0.451270163237709,0.7,0.315728649918853,0.266106327581851,0.617879758239599,0.3,10,"proximity",NA,NA,NA,NA,"2023","M","M"
"13","54",13,0.214315256853557,0.132743362831858,1,0.106527081350587,0.371702001358903,0.589133733596865,0,3,"proximity",NA,NA,NA,NA,"2023","F","F"
"14","1",68,0.510064622210452,0.277054263565891,1,0.148309103657177,0.101058699673526,0.660838886409259,0,6,"affiliative",NA,NA,NA,NA,"2023","M","M"
"15","6",23,0.247620833321948,0.206599137498746,1,0.124922703648066,0.0917832818774799,0.600185456401535,0,3,"affiliative",NA,NA,NA,NA,"2023","M","M"
"16","8",15,0.194683809469138,0.154838709677419,1,0.101281817629549,0.0965662497883534,0.63146204315917,0,3,"affiliative",NA,NA,NA,NA,"2023","M","M"
"17","9",26,0.208181138437932,0.147276003881521,0.7,0.0739020112506493,0.131233182072552,0.858154618859472,0.1,10,"affiliative",NA,NA,NA,NA,"2023","M","M"
"18","9",26,0.208181138437932,0.147276003881521,0.7,0.0739020112506493,0.131233182072552,0.858154618859472,0.1,10,"affiliative",NA,NA,NA,NA,"2023","M","M"
"19","10",62,0.532830467383857,0.257142857142857,1,0.113715225029943,0.0671284156650594,0.438963370771896,0,10,"affiliative",NA,NA,NA,NA,"2023","M","M"
"20","11",9,0.121415455791844,0.135746606334842,1,0.122171945701357,0.152924868302832,1,0,1,"affiliative",NA,NA,NA,NA,"2023","M","M"
"21","11",9,0.121415455791844,0.135746606334842,1,0.122171945701357,0.152924868302832,1,0,1,"affiliative",NA,NA,NA,NA,"2023","M","M"
"22","14",35,0.295591532553767,0.191638919718831,0.533333333333333,0.102206574679724,0.118674076836969,0.776028635198578,0.4,15,"affiliative",NA,NA,NA,NA,"2023","M","M"
"23","14",35,0.295591532553767,0.191638919718831,0.533333333333333,0.102206574679724,0.118674076836969,0.776028635198578,0.4,15,"affiliative",NA,NA,NA,NA,"2023","M","M"
"24","18",34,0.366187171964792,0.278716536928043,0.7,0.133496023218857,0.110429472873558,0.722115860547142,0.3,10,"affiliative",NA,NA,NA,NA,"2023","M","M"
"25","54",6,0.0602963895333536,0.0816687737041721,0.666666666666667,0.0544458491361148,0.140430269485822,0.91829583405449,0.333,3,"affiliative",NA,NA,NA,NA,"2023","F","F"
"26","1",3,0,0.0596296296296297,0.25,0.0370963682128731,0.152924868302832,1,0.5,6,"agonistic",NA,NA,NA,NA,"2023","M","M"
"27","6",3,3.46944695195361e-18,0.0641711229946524,0.333333333333333,0.0481283422459893,0.152924868302832,1,0.667,3,"agonistic",NA,NA,NA,NA,"2023","M","M"
"28","8",1,0,0.0387096774193547,0.166666666666667,0.0387096774193547,0,0,0.667,3,"agonistic",NA,NA,NA,NA,"2023","M","M"
"29","9",9,0.0399307358787697,0.180150187734669,0.25,0.0882198902474247,0.229387302454248,1.5,0.6,10,"agonistic",NA,NA,NA,NA,"2023","M","M"
"30","9",9,0.0399307358787697,0.180150187734669,0.25,0.0882198902474247,0.229387302454248,1.5,0.6,10,"agonistic",NA,NA,NA,NA,"2023","M","M"
"31","10",5,0,0.127367294627081,0.2,0.0677657691026734,0.0912225399784132,0.596518676071495,0.6,10,"agonistic",NA,NA,NA,NA,"2023","M","M"
"32","11",3,0.0383949383449709,0.0542986425339367,1,0.0407239819004525,0.152924868302832,1,0,1,"agonistic",NA,NA,NA,NA,"2023","M","M"
"33","11",3,0.0383949383449709,0.0542986425339367,1,0.0407239819004525,0.152924868302832,1,0,1,"agonistic",NA,NA,NA,NA,"2023","M","M"
