"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"1","6814","7234",3,1,2,12,28.3333333333333,20.1666666666667,0.148760330578512
"2","6814","7255",6,2,4,12,33.6666666666667,22.8333333333333,0.262773722627737
"3","6814","7265",1,1,0,12,16.1666666666667,14.0833333333333,0.0710059171597633
"4","6814","7328",1,1,0,12,46.5,29.25,0.0341880341880342
"5","6814","7391",2,1,1,12,25.8333333333333,18.9166666666667,0.105726872246696
"6","6818","7246",5,5,0,NA,50.5,NA,NA
"7","6818","7298",1,1,0,NA,47.8333333333333,NA,NA
"8","6818","7324",13,13,0,NA,48.8333333333333,NA,NA
"9","6818","7427",1,1,0,NA,49.5,NA,NA
"10","6818","7448",3,3,0,NA,23.6666666666667,NA,NA
"11","6818","7461",1,1,0,NA,29.6666666666667,NA,NA
"12","6833","7218",12,7,5,22.5,28.6666666666667,25.5833333333333,0.469055374592834
"13","6833","7219",3,1,2,22.5,38.3333333333333,30.4166666666667,0.0986301369863014
"14","6833","7232",8,3,5,22.5,25.6666666666667,24.0833333333333,0.332179930795848
"15","6833","7263",2,1,1,22.5,50.8333333333333,36.6666666666667,0.0545454545454545
"16","6833","7443",4,2,2,22.5,18.1666666666667,20.3333333333333,0.19672131147541
"17","6833","7477",1,1,0,22.5,4.66666666666667,13.5833333333333,0.0736196319018405
"18","6879","7271",1,1,0,13,17,15,0.0666666666666667
"19","6879","7314",4,1,3,13,11.6666666666667,12.3333333333333,0.324324324324324
"20","6888","6879",2,1,1,11.5,13,12.25,0.163265306122449
"21","6888","7218",1,1,0,11.5,28.6666666666667,20.0833333333333,0.0497925311203319
"22","6888","7314",5,3,2,11.5,11.6666666666667,11.5833333333333,0.431654676258993
"23","6888","7340",1,1,0,11.5,11,11.25,0.0888888888888889
"24","6888","7366",2,1,1,11.5,7.5,9.5,0.210526315789474
"25","6905","7234",1,1,0,1.16666666666667,28.3333333333333,14.75,0.0677966101694915
"26","6937","7083",3,2,1,20.3333333333333,27.3333333333333,23.8333333333333,0.125874125874126
"27","7010","",1,1,0,44.5,NA,NA,NA
"28","7010","7072",12,9,3,44.5,29.5,37,0.324324324324324
"29","7010","7186",1,1,0,44.5,29.3333333333333,36.9166666666667,0.0270880361173815
"30","7010","7207",17,6,11,44.5,45.6666666666667,45.0833333333333,0.377079482439926
"31","7010","7222",4,3,1,44.5,16.5,30.5,0.131147540983607
"32","7010","7230",4,1,3,44.5,16.5,30.5,0.131147540983607
"33","7010","7234",1,1,0,44.5,28.3333333333333,36.4166666666667,0.0274599542334096
"34","7010","7267",15,8,7,44.5,35.5,40,0.375
"35","7010","7298",1,1,0,44.5,47.8333333333333,46.1666666666667,0.0216606498194946
"36","7010","7315",1,1,0,44.5,28,36.25,0.0275862068965517
"37","7010","7328",2,2,0,44.5,46.5,45.5,0.043956043956044
"38","7010","7453",1,1,0,44.5,34.3333333333333,39.4166666666667,0.0253699788583509
"39","7010","7460",8,2,6,44.5,22.3333333333333,33.4166666666667,0.239401496259352
"40","7010","7472",5,2,3,44.5,33,38.75,0.129032258064516
"41","7038","6888",1,1,0,26.8333333333333,11.5,19.1666666666667,0.0521739130434783
"42","7038","7218",1,1,0,26.8333333333333,28.6666666666667,27.75,0.036036036036036
"43","7038","7271",2,1,1,26.8333333333333,17,21.9166666666667,0.091254752851711
"44","7038","7274",9,2,7,26.8333333333333,13.5,20.1666666666667,0.446280991735537
"45","7038","7280",4,4,0,26.8333333333333,15.3333333333333,21.0833333333333,0.189723320158103
"46","7038","7295",1,1,0,26.8333333333333,29.8333333333333,28.3333333333333,0.0352941176470588
"47","7038","7334",12,7,5,26.8333333333333,28,27.4166666666667,0.437689969604863
"48","7038","7339",7,1,6,26.8333333333333,22.8333333333333,24.8333333333333,0.281879194630873
"49","7038","7369",6,2,4,26.8333333333333,23.6666666666667,25.25,0.237623762376238
"50","7040","7139",9,2,7,39.5,36.6666666666667,38.0833333333333,0.236323851203501
"51","7040","7339",1,1,0,39.5,22.8333333333333,31.1666666666667,0.0320855614973262
"52","7040","7386",13,2,11,39.5,41,40.25,0.322981366459627
"53","7040","7390",9,2,7,39.5,45,42.25,0.21301775147929
"54","7040","7410",18,6,12,39.5,41.6666666666667,40.5833333333333,0.4435318275154
"55","7040","7426",4,2,2,39.5,41.3333333333333,40.4166666666667,0.0989690721649484
"56","7040","7480",14,4,10,39.5,42.6666666666667,41.0833333333333,0.340770791075051
"57","7040","7485",9,1,8,39.5,20.8333333333333,30.1666666666667,0.298342541436464
"58","7055","7214",1,1,0,2.16666666666667,1.66666666666667,1.91666666666667,0.521739130434783
"59","7055","7221",3,1,2,2.16666666666667,4.83333333333333,3.5,0.857142857142857
"60","7055","7477",2,1,1,2.16666666666667,4.66666666666667,3.41666666666667,0.585365853658537
"61","7055","7482",2,1,1,2.16666666666667,1.83333333333333,2,1
"62","7065","7304",1,1,0,1.5,1.66666666666667,1.58333333333333,0.631578947368421
"63","7065","7474",1,1,0,1.5,1.16666666666667,1.33333333333333,0.75
"64","7072","7010",9,4,5,29.5,44.5,37,0.243243243243243
"65","7072","7207",8,4,4,29.5,45.6666666666667,37.5833333333333,0.212860310421286
"66","7072","7234",3,3,0,29.5,28.3333333333333,28.9166666666667,0.103746397694524
"67","7072","7255",1,1,0,29.5,33.6666666666667,31.5833333333333,0.0316622691292876
"68","7072","7267",8,2,6,29.5,35.5,32.5,0.246153846153846
"69","7072","7328",9,5,4,29.5,46.5,38,0.236842105263158
"70","7072","7391",1,1,0,29.5,25.8333333333333,27.6666666666667,0.036144578313253
"71","7072","7460",8,5,3,29.5,22.3333333333333,25.9166666666667,0.308681672025723
