"","id1","id2","n","n_behave","n_scan","actor.obs","subject.obs","ave.obs","frequency"
"1","6814","6936",2,1,1,15.1666666666667,25.8333333333333,20.5,0.0975609756097561
"2","6814","7007",3,1,2,15.1666666666667,11,13.0833333333333,0.229299363057325
"3","6814","7010",4,1,3,15.1666666666667,25.1666666666667,20.1666666666667,0.198347107438017
"4","6814","7095",4,3,1,15.1666666666667,12.3333333333333,13.75,0.290909090909091
"5","6814","7198",3,2,1,15.1666666666667,7.16666666666667,11.1666666666667,0.26865671641791
"6","6818","6838",7,3,4,32.3333333333333,37.8333333333333,35.0833333333333,0.199524940617577
"7","6818","6901",2,1,1,32.3333333333333,35.6666666666667,34,0.0588235294117647
"8","6818","7059",1,1,0,32.3333333333333,24.8333333333333,28.5833333333333,0.0349854227405248
"9","6818","7115",9,3,6,32.3333333333333,40.5,36.4166666666667,0.247139588100686
"10","6818","7125",5,2,3,32.3333333333333,39.5,35.9166666666667,0.139211136890951
"11","6818","7166",6,3,3,32.3333333333333,35.8333333333333,34.0833333333333,0.176039119804401
"12","6819","6911",1,1,0,23.8333333333333,23.3333333333333,23.5833333333333,0.0424028268551237
"13","6819","7080",2,1,1,23.8333333333333,21.6666666666667,22.75,0.0879120879120879
"14","6819","7098",3,3,0,23.8333333333333,29.6666666666667,26.75,0.11214953271028
"15","6819","7102",4,1,3,23.8333333333333,22.1666666666667,23,0.173913043478261
"16","6819","7110",2,2,0,23.8333333333333,18.3333333333333,21.0833333333333,0.0948616600790514
"17","6819","7149",1,1,0,23.8333333333333,12.8333333333333,18.3333333333333,0.0545454545454545
"18","6819","7175",5,4,1,23.8333333333333,26.5,25.1666666666667,0.198675496688742
"19","6819","7192",1,1,0,23.8333333333333,24.6666666666667,24.25,0.0412371134020619
"20","6819","7197",7,4,3,23.8333333333333,23.6666666666667,23.75,0.294736842105263
"21","6819","7200",5,5,0,23.8333333333333,18.1666666666667,21,0.238095238095238
"22","6820","6819",1,1,0,23.8333333333333,23.8333333333333,23.8333333333333,0.041958041958042
"23","6820","6911",1,1,0,23.8333333333333,23.3333333333333,23.5833333333333,0.0424028268551237
"24","6820","6937",9,5,4,23.8333333333333,18.8333333333333,21.3333333333333,0.421875
"25","6820","7080",5,4,1,23.8333333333333,21.6666666666667,22.75,0.21978021978022
"26","6820","7083",1,1,0,23.8333333333333,18.1666666666667,21,0.0476190476190476
"27","6820","7084",6,4,2,23.8333333333333,21.8333333333333,22.8333333333333,0.262773722627737
"28","6820","7098",2,2,0,23.8333333333333,29.6666666666667,26.75,0.0747663551401869
